year,init_date,step,lead_hours,lead_day,mse,t2m_pred_gmean_k,t2m_truth_gmean_k,t2m_rmse_k,t2m_mean_bias_k
1955,1955-01-16,6,36.0,1.5,0.8442146182060242,286.5150146484375,286.54015396150277,0.9188115000724792,-0.016092663630843163
1955,1955-01-16,7,42.0,1.75,0.9498412013053894,286.5081787109375,286.5140443953366,0.9745979905128479,0.001691946410574019
1955,1955-01-16,8,48.0,2.0,1.2915271520614624,286.2608947753906,286.20474327088164,1.1364537477493286,0.08590696007013321
1955,1955-01-16,9,54.0,2.25,1.314557433128357,286.2410888671875,286.17251338803953,1.1465414762496948,0.09610532969236374
1955,1955-01-16,10,60.0,2.5,1.6905258893966675,286.5159606933594,286.4867150928056,1.3002022504806519,0.050212010741233826
1955,1955-01-16,11,66.0,2.75,1.9489834308624268,286.50970458984375,286.4622111058149,1.3960599899291992,0.09135255217552185
1955,1955-01-16,12,72.0,3.0,2.2900376319885254,286.2802734375,286.1808471453506,1.51328706741333,0.15426376461982727
1955,1955-01-16,13,78.0,3.25,2.540306806564331,286.2617492675781,286.16641846431236,1.5938340425491333,0.12993401288986206
1955,1955-01-16,14,84.0,3.5,2.9168155193328857,286.5401916503906,286.48818912916033,1.7078686952590942,0.07322573661804199
1955,1955-01-16,15,90.0,3.75,3.0575060844421387,286.5251770019531,286.47843245448655,1.748572587966919,0.08403698354959488
1955,1955-01-16,16,96.0,4.0,3.8887691497802734,286.3172607421875,286.1725346931288,1.9719961881637573,0.20496290922164917
1955,1955-01-16,17,102.0,4.25,4.398929595947266,286.3009338378906,286.1447473233527,2.097362518310547,0.2132112979888916
1955,1955-01-16,18,108.0,4.5,5.21658182144165,286.5803527832031,286.47879317297054,2.2839837074279785,0.14037330448627472
1955,1955-01-16,19,114.0,4.75,5.0970282554626465,286.55377197265625,286.4573341966367,2.257659912109375,0.14485976099967957
1955,1955-01-16,20,120.0,5.0,5.25565767288208,286.32794189453125,286.1646003888693,2.2925221920013428,0.22938209772109985
1955,1955-01-16,21,126.0,5.25,5.238431453704834,286.3242492675781,286.1440203769276,2.288762092590332,0.221735417842865
1955,1955-01-16,22,132.0,5.5,5.516476154327393,286.60662841796875,286.52971723911986,2.3487179279327393,0.10352005809545517
1955,1955-01-16,23,138.0,5.75,5.793959617614746,286.5668640136719,286.4625513595377,2.407064437866211,0.11243228614330292
1955,1955-01-16,24,144.0,6.0,6.127927303314209,286.3247375488281,286.2018260255694,2.4754650592803955,0.1355838030576706
1955,1955-01-16,25,150.0,6.25,6.355438709259033,286.2950744628906,286.1286437694363,2.5209994316101074,0.18072126805782318
1955,1955-01-16,26,156.0,6.5,6.428706169128418,286.552490234375,286.46979125807064,2.535489320755005,0.09139783680438995
1955,1955-01-16,27,162.0,6.75,6.129957675933838,286.5044250488281,286.41391799579793,2.47587513923645,0.11311881244182587
1955,1955-01-16,28,168.0,7.0,6.116724967956543,286.25933837890625,286.1248410517719,2.473201274871826,0.17198827862739563
1955,1955-01-16,29,174.0,7.25,6.365543842315674,286.20965576171875,286.12041896837457,2.523002862930298,0.11310131847858429
1955,1955-01-16,30,180.0,7.5,6.65132999420166,286.46954345703125,286.4189712484002,2.579017162322998,0.07986262440681458
1955,1955-01-16,31,186.0,7.75,6.683743953704834,286.4283752441406,286.4065232359704,2.585293769836426,0.05253707617521286
1955,1955-01-16,32,192.0,8.0,6.625529766082764,286.1829528808594,286.15951076674077,2.5740103721618652,0.03267864137887955
1955,1955-01-16,33,198.0,8.25,6.782740592956543,286.1374206542969,286.1165917762515,2.6043694019317627,0.018957387655973434
1955,1955-01-16,34,204.0,8.5,7.413158416748047,286.41290283203125,286.4279251289281,2.7227115631103516,-0.06322389841079712
1955,1955-01-16,35,210.0,8.75,7.678760528564453,286.3895568847656,286.4042277992518,2.771057605743408,-0.068885438144207
1955,1955-01-16,36,216.0,9.0,8.101778984069824,286.1658935546875,286.1119957742869,2.846362352371216,-0.0001987482828553766
1955,1955-01-16,37,222.0,9.25,8.353638648986816,286.122314453125,286.0570223664263,2.890266180038452,0.010619238950312138
1955,1955-01-16,38,228.0,9.5,8.886903762817383,286.4147033691406,286.3607057801623,2.981091022491455,-0.008897995576262474
1955,1955-01-16,39,234.0,9.75,9.487637519836426,286.4098205566406,286.3284363990007,3.0802009105682373,0.02869608998298645
1955,1955-01-16,40,240.0,10.0,10.097063064575195,286.1834411621094,286.06887094406466,3.1775875091552734,0.06921925395727158
1955,1955-01-17,0,0.0,0.0,0.3721621334552765,286.1749267578125,286.2310577637186,0.6100509166717529,-0.044190652668476105
1955,1955-01-17,1,6.0,0.25,0.29925087094306946,286.193115234375,286.18956655472385,0.5470382571220398,0.006204603705555201
1955,1955-01-17,2,12.0,0.5,0.40103068947792053,286.4918518066406,286.54015396150277,0.6332698464393616,-0.04291946813464165
1955,1955-01-17,3,18.0,0.75,0.4288363456726074,286.488037109375,286.5140443953366,0.6548559665679932,-0.018606014549732208
1955,1955-01-17,4,24.0,1.0,0.6507378220558167,286.2408752441406,286.20474327088164,0.8066832423210144,0.060374245047569275
1955,1955-01-17,5,30.0,1.25,0.7515813112258911,286.2169494628906,286.17251338803953,0.8669378757476807,0.06038476526737213
1955,1955-01-17,6,36.0,1.5,1.0210329294204712,286.4891357421875,286.4867150928056,1.010461688041687,0.007986826822161674
1955,1955-01-17,7,42.0,1.75,1.1065682172775269,286.4839172363281,286.4622111058149,1.0519354343414307,0.045025382190942764
1955,1955-01-17,8,48.0,2.0,1.3328267335891724,286.2544860839844,286.1808471453506,1.1544811725616455,0.10752952098846436
1955,1955-01-17,9,54.0,2.25,1.5926185846328735,286.2428894042969,286.16641846431236,1.261989951133728,0.09159250557422638
1955,1955-01-17,10,60.0,2.5,1.9452470541000366,286.52197265625,286.48818912916033,1.3947211503982544,0.04486647620797157
1955,1955-01-17,11,66.0,2.75,1.959803581237793,286.5138244628906,286.47843245448655,1.3999298810958862,0.07145224511623383
1955,1955-01-17,12,72.0,3.0,2.50600004196167,286.2803649902344,286.1725346931288,1.5830351114273071,0.1733444631099701
1955,1955-01-17,13,78.0,3.25,3.025973081588745,286.2501220703125,286.1447473233527,1.739532470703125,0.17373384535312653
